selected_text,sentiment,emotion
last session of the day  ,neutral,sadness
exciting,positive,joy
happy bday,positive,joy
and within a short time of the last clue all of them,negative,sadness
what did you get  my day is alright havent done anything yet leaving soon to my stepsister though,negative,sadness
my bike was put on holdshould have known that argh total bummer,negative,fear
i checked  we didnt win,negative,joy
 and youre on twitter did the tavern bore you that much,negative,sadness
i feel like my phones hole is not a virgin thats how loose it is ,negative,sadness
im going into a spiritual stagnentation its exploding my ego i now realise im not all that great and im ok with that,positive,joy
my dead grandpa pays more attention to me than you do,negative,sadness
about to go to sleep,neutral,fear
thats so cool,positive,joy
hey peoples dont you just hate being grounded haha im just sat eating an apple and watching death note some anime,negative,sadness
huh another scarepoint coding sunday,neutral,joy
look who i found just for you    ,positive,joy
no ac the fan doesnt swing our way  we are sweating it out on a hot humid day,negative,joy
